  100		 9.63E-07		 1.85E-07
  200		 4.13E-05		 3.65E-07
  300		 1.56E-04		 6.46E-07
  400		 3.10E-04		 1.21E-06
  500		 4.97E-04		 2.18E-06
  600		 6.92E-04		 3.57E-06
  700		 8.85E-04		 5.38E-06
  800		 1.08E-03		 7.70E-06
  900		 1.27E-03		 1.06E-05
 1000		 1.46E-03		 1.42E-05
 1100		 1.65E-03		 1.85E-05
 1200		 1.84E-03		 2.37E-05
 1300		 2.03E-03		 2.99E-05
 1400		 2.23E-03		 3.75E-05
 1500		 2.44E-03		 4.69E-05
 1600		 2.67E-03		 5.86E-05
 1700		 2.94E-03		 7.32E-05
 1800		 3.24E-03		 9.14E-05
 1900		 3.59E-03		 1.14E-04
 2000		 3.99E-03		 1.41E-04
 2100		 4.53E-03		 1.72E-04
 2200		 5.33E-03		 2.08E-04
 2300		 6.21E-03		 2.48E-04
 2400		 7.16E-03		 2.93E-04
 2500		 8.15E-03		 3.40E-04
