           t                      Max1                    Max2                    Max3          
100                     8.512479403495247e-07   1.8499684315739258e-07  2.4964809208195523e-07  
200                     3.610973207126778e-05   3.650604505334269e-07   4.81590512942971e-07    
300                     0.00014671186409669003  6.240071394028882e-07   6.970920062115732e-07   
400                     0.0002992931248789208   1.1436896635707764e-06  8.973376661182432e-07   
500                     0.0004885474897294346   2.0744379586533866e-06  1.0834483092691617e-06  
600                     0.000691194176627303    3.4622275768971533e-06  1.2564767170135204e-06  
700                     0.00089463283957233     5.31747090579988e-06    1.4173988902671669e-06  
800                     0.001098104619638767    7.721237147265876e-06   1.567131155601823e-06   
900                     0.001301964426446184    1.0775540236770408e-05  1.7065373700175625e-06  
1000                    0.0015056591910904687   1.4577081046504067e-05  1.8364271199658104e-06  
1100                    0.001708842809844389    1.9235952922115888e-05  1.9612417479880054e-06  
1200                    0.0019122496856480854   2.4907388893517826e-05  2.0823436816404487e-06  
1300                    0.0021180875067345404   3.182251112226687e-05   2.196918113906669e-06   
1400                    0.0023303632116048073   4.031962363742397e-05   2.3081811468961496e-06  
1500                    0.00255520445172477     5.087347325360614e-05   2.4163248429035e-06     
1600                    0.0028008905456741603   6.4107708792969e-05     2.5195431237861063e-06  
1700                    0.003077183343637101    8.07675543152137e-05    2.618263329420589e-06   
1800                    0.0033937681080149196   0.0001016366189469925   2.715283341624764e-06   
1900                    0.0037581753605991186   0.00012741043818512406  2.813773748214558e-06   
2000                    0.004174080830337652    0.0001585727896464524   2.9132724975455906e-06  
2100                    0.004727517894496811    0.00019532474062175173  3.009106194408842e-06   
2200                    0.005556558745693433    0.00023758414445114941  3.102725164108392e-06   
2300                    0.006467588122750247    0.00028503703369905264  3.19788199791838e-06    
2400                    0.007448059198922834    0.00033720905201677776  3.2900310555713855e-06  
2500                    0.00848616646049807     0.00039353266740134457  3.3792705017355507e-06  
2600                    0.0095715811711464      0.00045339949348423763  3.4656947107142866e-06  
2700                    0.010695573254455979    0.0005161967184297541   3.5493944695611153e-06  
2800                    0.011850828274243637    0.0005813306711573343   3.6304572002809384e-06  
2900                    0.01303116059056831     0.0006482410702704754   3.708967180615948e-06   
3000                    0.0142312211907869      0.0007164087426830214   3.7850057530674617e-06  
3100                    0.015446235052444683    0.0007853587411008702   3.858651518081123e-06   
3200                    0.01667177238117623     0.0008546601810884425   3.929980511122246e-06   
3300                    0.01790354724020549     0.0009239237519181885   3.999066365695272e-06   
3400                    0.019137236332031817    0.000992797650364517    4.0659804655555396e-06  
3500                    0.020368315467968762    0.0010609625932723199   4.130792089317695e-06   
3600                    0.021591920358064537    0.001128126573686815    4.193568549013116e-06   
3700                    0.022802751583598905    0.0011940201363262277   4.254375320403562e-06   
3800                    0.02399505905204177     0.001258393118832208    4.31327615677871e-06    
3900                    0.025162752046433947    0.001321013899807852    4.37033317041902e-06    
4000                    0.02629967393979998     0.0013816719794842265   4.425606860195325e-06   
