           t                   Max1/Max2               Max2/Max3        
100                     4.185711113678623       0.7410294471896917      
200                     87.22347528137684       0.7579727229997538      
300                     228.4553826881941       0.8718375957776605      
400                     263.9971119063035       1.2254990161320922      
500                     240.82528956996396      1.8425970174470723      
600                     203.91995723080134      2.6868700690127434      
700                     170.89779105623253      3.7120429646985076      
800                     143.7062761700545       4.9311748852362385      
900                     121.54190411051631      6.3755990960985836      
1000                    103.45738255420484      8.07543668418963        
1100                    88.59864678691036       10.045736453762228      
1200                    76.24393963707693       12.326258688794711      
1300                    65.82686078819911       15.007292566731351      
1400                    56.933071129895765      18.1853480801569        
1500                    49.28112783598815       22.00674061158814       
1600                    42.69609748345101       26.689701836329704      
1700                    37.07606366550258       32.46165375042766       
1800                    32.352236510619456      39.540810253225786      
1900                    28.452480249817846      48.00044795907661       
2000                    25.282979994572017      57.86061600589984       
2100                    23.1056694381008        69.16952095628959       
2200                    22.246418018042174      81.7641316110349        
2300                    21.521376180408236      95.33794583840712       
2400                    20.903152932201127      109.77965700731255      
2500                    20.373658706097853      124.86985425903534      
2600                    19.92028359186765       140.40232828234073      
2700                    19.533448201694206      156.19173268275483      
2800                    19.205261953588113      172.07642616397067      
2900                    18.92886188820342       187.91847676767767      
3000                    18.698104990335413      203.60211290538223      
3100                    18.507420761771257      219.03137381379676      
3200                    18.351726400882388      234.12738830799918      
3300                    18.22636153653153       248.8255329884065       
3400                    18.12702718466119       263.07262957834564      
3500                    18.049727167647447      276.824303550639        
3600                    17.99071760334999       290.04263090379436      
3700                    17.946475133377277      302.69423999145977      
3800                    17.913697950719957      314.7490908478713       
3900                    17.889352935886215      326.1801776593426       
4000                    17.87077270033546       336.96431686958147      
4100                    17.855785540618996      347.0839341453384       
4200                    17.842836089893716      354.3612907543658       
4300                    17.831043191739344      359.87609393265626      
4400                    17.820160432496834      364.2862748842708       
4500                    17.81044691770236       367.6728623899495       
4600                    17.802492091820632      370.1451132941578       
4700                    17.79704581629446       371.8278646745677       
4800                    17.79488710447834       372.84936403563484      
4900                    17.796740982778868      373.3318656491969       
5000                    17.803236959304765      373.3857096438345       
