  100		 2.46E-01
  200		 1.20E-02
  300		 4.43E-03
  400		 3.78E-03
  500		 4.13E-03
  600		 4.87E-03
  700		 5.82E-03
  800		 6.94E-03
  900		 8.21E-03
 1000		 9.66E-03
 1100		 1.13E-02
 1200		 1.31E-02
 1300		 1.52E-02
 1400		 1.76E-02
 1500		 2.04E-02
 1600		 2.35E-02
 1700		 2.71E-02
 1800		 3.11E-02
 1900		 3.55E-02
 2000		 4.00E-02
 2100		 4.39E-02
 2200		 4.57E-02
 2300		 4.73E-02
 2400		 4.88E-02
 2500		 5.01E-02
 2600		 5.13E-02
 2700		 5.24E-02
 2800		 5.34E-02
 2900		 5.42E-02
 3000		 5.50E-02
 3100		 5.57E-02
 3200		 5.62E-02
 3300		 5.68E-02
 3400		 5.72E-02
 3500		 5.76E-02
 3600		 5.79E-02
 3700		 5.82E-02
 3800		 5.85E-02
 3900		 5.87E-02
 4000		 5.89E-02
 4100		 5.92E-02
 4200		 5.94E-02
 4300		 5.96E-02
 4400		 5.99E-02
 4500		 6.01E-02
 4600		 6.04E-02
 4700		 6.07E-02
 4800		 6.09E-02
 4900		 6.12E-02
